Title,Genre(s),Platform(s),Release Year,Developer(s),Publisher(s),Avg. Time,Avg. Rushed Time,Art,Glitchless World Record Time,Glitchless World Record Holder,Description
102 Dalmatians: Puppies to the Rescue,"Action
Platformer","Dreamcast
Game Boy Color
PC
PlayStation",,,,,,,,,
Banjo-Kazooie,,,,,,,,,,,
Bomberman Online,,,,,,,,,,,
Bugs Bunny: Lost in Time,,,,,,,,,,,
Deltarune: Chapter 1,,,,,,,,,,,
Disney's Donald Duck: Goin' Quackers,,,,,,,,,,,
Donkey Kong Country,,,,,,,,,,,
Elite Beat Agents,,,,,,,,,,,
F-Zero 99,,,,,,,,,,,
Fire Emblem: Awakening,,,,,,,,,,,
Frogger: Ancient Shadow,,,,,,,,,,,
Fullmetal Alchemist: Dual Sympathy,,,,,,,,,,,
Golden Sun,,,,,,,,,,,
Kid Icarus: Uprising,,,,,,,,,,,
Kingdom Hearts 358/2 Days,,,,,,,,,,,
Kingdom Hearts 3D: Dream Drop Distance,,,,,,,,,,,
Kingdom Hearts Birth by Sleep Final Mix,,,,,,,,,,,
Kingdom Hearts Final Mix,,,,,,,,,,,
Kingdom Hearts II Final Mix,,,,,,,,,,,
Kingdom Hearts III,,,,,,,,,,,
Kingdom Hearts Re:coded,,,,,,,,,,,
Kingdom Hearts: Chain of Memories,,,,,,,,,,,
Kuru Kuru Kururin,,,,,,,,,,,
Looney Tunes: Back in Action,,,,,,,,,,,
Looney Tunes: Space Race,,,,,,,,,,,
Luigi's Mansion,,,,,,,,,,,
Madagascar,,,,,,,,,,,
Mario Kart 8 Deluxe,,,,,,,,,,,
Mario Kart DS,,,,,,,,,,,
Mario Kart Wii,,,,,,,,,,,
Mario Kart: Super Circuit,,,,,,,,,,,
Mario Pinball Land,,,,,,,,,,,
McDonald's: O Resgate dos Bichos,,,,,,,,,,,
Metroid Fusion,,,,,,,,,,,
New Super Mario Bros.,,,,,,,,,,,
New Super Mario Bros. Wii,,,,,,,,,,,
Persona 5 Royal,,,,,,,,,,,
Pokémon Black and White,,,,,,,,,,,
Pokémon HeartGold and SoulSilver,,,,,,,,,,,
Pokémon Ruby and Sapphire,,,,,,,,,,,
Pokémon Scarlet and Violet,,,,,,,,,,,
Pokémon Snap,,,,,,,,,,,
Pokémon X and Y,,,,,,,,,,,
"Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!",,,,,,,,,,,
Rayman 2: The Great Escape,,,,,,,,,,,
Rayman 3: Hoodlum Havoc,,,,,,,,,,,
Shadow the Hedgehog,,,,,,,,,,,
Shin Megami Tensei: Persona 4,,,,,,,,,,,
Sonic Adventure 2 Battle,,,,,,,,,,,
Sonic Adventure DX,,,,,,,,,,,
Sonic and the Secret Rings,,,,,,,,,,,
Sonic Colors,,,,,,,,,,,
Sonic Heroes,,,,,,,,,,,
Sonic Riders,,,,,,,,,,,
Sonic Rush,,,,,,,,,,,
Sonic Rush Adventure,,,,,,,,,,,
Sonic the Hedgehog 2 (16-bit),,,,,,,,,,,
Sonic the Hedgehog 3,,,,,,,,,,,
Sonic Unleashed,,,,,,,,,,,
Spider-Man,,,,,,,,,,,
Star Fox 64,,,,,,,,,,,
Star Fox Command,,,,,,,,,,,
Star Fox: Assault,,,,,,,,,,,
Super Mario 64,,,,,,,,,,,
Super Mario Advance 2: Super Mario World,,,,,,,,,,,
Super Mario Bros.,,,,,,,,,,,
Super Mario Bros. Wonder,,,,,,,,,,,
Super Mario Galaxy,,,,,,,,,,,
Super Mario Galaxy 2,,,,,,,,,,,
Super Mario Sunshine,,,,,,,,,,,
Super Mario World,,,,,,,,,,,
Super Smash Bros. Brawl,,,,,,,,,,,
Super Smash Bros. Melee,,,,,,,,,,,
Taz: Wanted,,,,,,,,,,,
The Legend of Zelda,,,,,,,,,,,
The Legend of Zelda: A Link Between Worlds,,,,,,,,,,,
The Legend of Zelda: A Link to the Past,,,,,,,,,,,
The Legend of Zelda: Link's Awakening DX,,,,,,,,,,,
The Legend of Zelda: Majora's Mask,,,,,,,,,,,
The Legend of Zelda: Majora's Mask 3D,,,,,,,,,,,
The Legend of Zelda: Ocarina of Time,,,,,,,,,,,
The Legend of Zelda: Ocarina of Time 3D,,,,,,,,,,,
The Legend of Zelda: Oracle of Ages,,,,,,,,,,,
The Legend of Zelda: Oracle of Seasons,,,,,,,,,,,
The Legend of Zelda: Phantom Hourglass,,,,,,,,,,,
The Legend of Zelda: Skyward Sword,,,,,,,,,,,
The Legend of Zelda: Spirit Tracks,,,,,,,,,,,
The Legend of Zelda: Tears of the Kingdom,,,,,,,,,,,
The Legend of Zelda: The Minish Cap,,,,,,,,,,,
The Legend of Zelda: The Wind Waker,,,,,,,,,,,
The Legend of Zelda: Twilight Princess,,,,,,,,,,,
The World Ends With You,,,,,,,,,,,
Ty the Tasmanian Tiger 2: Bush Rescue,,,,,,,,,,,
Undertale,,,,,,,,,,,
Wacky Races,,,,,,,,,,,
"WarioWare, Inc.: Mega Microgame$!",,,,,,,,,,,
Wii Sports,,,,,,,,,,,
Woody Woodpecker: Escape from Buzz Buzzard Park,,,,,,,,,,,
Xenoblade Chronicles,,,,,,,,,,,
Zelda II: The Adventure of Link,,,,,,,,,,,
